Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,TIDAL Popularity,Explicit Track
TOES (feat. Lil Baby & Moneybagg Yo),KIRK,DaBaby,9/27/2019,USUM71919280,"2,499",28.4,349688559,77636.0,"12,565,087",60.0,66011548,"699,236","538,219","83,527,860",643169528,"1,989,190",26.0,854,43,9.0,"23,636",7.0,118261786,"72,689","41,833,353","771,928",,1
Ch-Ch-Ch Chick (feat. Chick McGee),A Couple of Nuts,Bob and Tom,4/18/2013,QZ5HC2126407,"2,501",28.4,3115,7.0,5,,-2147483648,"6,452,846",,,0,,0.0,28,,0.0,,0.0,0,,,,,0
10 Things I Hate About You,10 Things I Hate About You,Leah Kate,3/23/2022,QZES62254244,"2,496",28.4,238502829,38595.0,"7,419,495",4.0,26154092,"390,129","1,569,194","185,586,256",-2147483648,"3,453,749",17.0,"33,938",760,8.0,"66,599",7.0,23587662,"15,146",,"692,500",,1
Adios Amor,Adios Amor,Christian Nodal,2/16/2018,PEBQ91892842,"2,517",28.3,597899105,23.0,"3,072",,1498558573,"4,666,041",,,0,"183,122,996",0.0,,,0.0,,0.0,0,,,,,0
X Ã¯Â¿Â½Ã¯Â¿Â½LTIMA,LEGENDADDY,Daddy Yankee,3/25/2022,USUG12201738,"2,503",28.3,409394001,53657.0,"22,643,350",64.0,123846563,"1,120,466","442,700","135,938,706",1334863571,"330,802,357",45.0,"15,971",81,18.0,"2,038,434",36.0,23456449,"1,603","676,729","526,470",,1
Lalala - Ilkan Gunuc Remix,Lalala (Ilkan Gunuc Remix),Y2K,10/28/2019,USSM12002468,"2,515",28.3,28240865,9377.0,"3,738,275",49.0,0,,"7,210,799","121,538,491",1680010594,,14.0,"2,644",,6.0,"4,972",0.0,37628,,"182,052","1,994,181",,1
Poco A Poco,Poco A Poco - Single,Xavi,9/23/2023,USA2P2344729,"2,514",28.3,283079113,15570.0,"15,950,378",82.0,41149970,"328,843","84,726","9,560,738",60287119,,7.0,118,,11.0,"13,607,485",3.0,4030323,"2,105",,"271,176",,0
The Alchemy,THE TORTURED POETS DEPARTMENT,Taylor Swift,4/18/2024,USUG12401042,"2,513",28.3,106201248,2992.0,"15,108,991",,5521347,"70,034",,,0,,19.0,290,,11.0,"226,234",47.0,2070315,"1,695",,"24,502",,0
Sunday Service,Sunday Service,Latto,2/9/2024,USRC12400151,"2,505",28.3,12270831,1736.0,"2,704,404",,22668627,"309,518",,"729,900",3400000,"361,916,750",18.0,"19,404",112,12.0,"132,145",16.0,5371441,"3,307","1,903,428","172,799",,1
Red Ruby Da Sleeze,Red Ruby Da Sleeze,Nicki Minaj,3/3/2023,USUM72302705,"2,504",28.3,148574146,25770.0,"27,326,995",59.0,39166702,"619,142","6,500","2,704,073",21611489,"21,914,535",39.0,"90,970",156,8.0,"113,301",26.0,21922593,"6,693",,"1,090,214",,1
Mama,Mama,Jonas Blue,5/5/2017,GBUM71701777,"2,509",28.3,955563174,89780.0,"18,075,056",67.0,929090173,"5,061,750","29,802","16,031,731",85857976,"262,705,725",103.0,"59,537",,96.0,"388,298",7.0,27583329,"14,884",,"7,735,883",,0
Puta Mexicana,Som das RegiÃ¯Â¿Â½Ã¯,DJ Jeeh FDC,12/6/2022,QZW9M2275605,"2,508",28.3,172602494,38926.0,"14,426,720",63.0,122947771,"1,241,098","312,400","143,003,405",1722398168,"12,348,511",0.0,76,,18.0,"1,950,340",5.0,0,,,,,1
Self Care,Self Care,Mac Miller,7/13/2018,USWB11801215,"2,516",28.3,687861392,156992.0,"21,060,151",70.0,497604866,"3,052,127","56,852","19,118,562",193776994,"40,752,198",0.0,873,,11.0,"32,411",35.0,37793881,"33,506",,,,1
Out of Time,The Highlights (Deluxe),The Weeknd,2/5/2021,USUG12106689,"2,507",28.3,451878749,78793.0,"18,239,674",70.0,221123432,"2,660,730","23,842","20,880,385",233301151,"3,022,110,413",41.0,"114,661",709,17.0,"330,997",21.0,2975758,"4,342",,"1,722,436",,0
Karma,Midnights (3am Edition),Taylor Swift,10/21/2022,USUG12205729,"2,510",28.3,777305444,2358.0,"643,308",47.0,83446,"3,275",,,0,,17.0,"281,124",,0.0,,0.0,0,,,,,0
